,Title,PublishedDate,Views,Likes,Comments,Month
343,Elliptic Curve Back Door - Computerphile,2018-02-15,492734,13544,570,Feb
344,Von Neumann Architecture - Computerphile,2018-02-13,604559,15896,518,Feb
345,Diceware & Passwords - Computerphile,2018-02-09,299757,7599,695,Feb
346,Wheeler Jump - Computerphile,2018-02-06,81939,2602,265,Feb
347,Research & High Performance Computing - Computerphile,2018-01-31,56845,1519,114,Jan
348,High Performance Computing (HPC) - Computerphile,2018-01-25,115761,2600,246,Jan
349,Web Fonts - Computerphile,2018-01-23,67109,1738,122,Jan
350,CPUs Are Out of Order - Computerphile,2018-01-19,184684,4805,332,Jan
351,Elliptic Curves - Computerphile,2018-01-16,502562,12563,361,Jan
352,Compaq Portable (Halt & Catch Fire) - Computerphile,2018-01-12,52384,1855,123,Jan
353,The Archive (Centre For Computing History) - Computerphile,2018-01-09,40884,1383,132,Jan
354,Spectre & Meltdown - Computerphile,2018-01-05,339657,10500,817,Jan
355,Key Exchange Problems - Computerphile,2017-12-29,334856,9624,331,Dec
356,Festive Fractals - Computerphile,2017-12-22,75725,2970,262,Dec
357,Diffie Hellman -the Mathematics bit- Computerphile,2017-12-20,469013,16388,772,Dec
358,Secret Key Exchange (Diffie-Hellman) - Computerphile,2017-12-15,878099,22813,582,Dec
359,Bluetooth & Sync - Computerphile,2017-12-13,113953,3009,179,Dec
360,Anti Bank-Fraud Technology - Computerphile,2017-12-08,60810,1579,155,Dec
361,The Anonymisation Problem - Computerphile,2017-12-05,71148,2517,145,Dec
362,Malware Overview - Computerphile,2017-12-01,81385,1982,128,Dec
363,Net Neutrality - Computerphile,2017-11-29,98751,4050,505,Nov
364,What is a Monad? - Computerphile,2017-11-24,561281,12575,1736,Nov
365,MIDI & Digital Music Making - Computerphile,2017-11-22,68418,2242,240,Nov
366,"Bitcoin, Blockchain Forks & Lightning - Computerphile",2017-11-17,92489,2386,248,Nov
367,1978's Raspberry Pi (MK14) - Computerphile,2017-11-15,82373,2557,196,Nov
368,World's First Webcam - Computerphile,2017-11-10,68556,3210,166,Nov
369,Zero Knowledge Proofs - Computerphile,2017-11-08,199644,5391,314,Nov
370,Computing Limit - Computerphile,2017-11-03,427966,13792,932,Nov
371,Scaling Blockchains - Computerphile,2017-11-01,140898,4238,197,Nov
372,Wildcards - Computerphile,2017-10-27,53772,1372,157,Oct
373,Generative Adversarial Networks (GANs) - Computerphile,2017-10-25,625410,17999,693,Oct
374,Krack Attacks (WiFi WPA2 Vulnerability) - Computerphile,2017-10-17,612977,12906,529,Oct
375,Homotopy Type Theory Discussed - Computerphile,2017-10-13,63901,1477,95,Oct
376,ESSENTIALS: Subroutines & The Wheeler Jump - Computerphile,2017-10-10,55025,1669,116,Oct
377,Homotopy Type Theory: Vladimir Voevodsky  - Computerphile,2017-10-06,58757,1402,79,Oct
378,AI YouTube Comments - Computerphile,2017-10-04,282736,8180,747,Oct
379,Essentials: Hidden Pointers - Computerphile,2017-09-29,66209,1844,142,Sep
380,Propositions as Types - Computerphile,2017-09-27,94698,2261,193,Sep
381,Programming Loops vs Recursion - Computerphile,2017-09-22,1479158,37517,1106,Sep
382,Selfie to 3D Model - Computerphile,2017-09-20,59132,1471,108,Sep
383,Reacting to Social Media - Computerphile,2017-09-13,44252,899,85,Sep
384,Cellphones & Big Data - Computerphile,2017-09-08,60182,1174,107,Sep
385,Designing Software for Collaboration - Computerphile,2017-09-06,47577,911,63,Sep
386,Triple Ref Pointers - Computerphile,2017-09-01,147058,4318,404,Sep
387,2FA: Two Factor Authentication - Computerphile,2017-08-30,494442,10947,372,Aug
388,Why C is so Influential - Computerphile,2017-08-25,1928831,31202,1684,Aug
389,Securing Stream Ciphers (HMAC) - Computerphile,2017-08-23,291526,7086,220,Aug
390,Essentials: Pointer Power! - Computerphile,2017-08-18,451341,12831,688,Aug
391,Essentials: Functional Programming's Y Combinator - Computerphile,2017-08-16,305849,7176,547,Aug
392,Essentials: Brian Kernighan on Associative Arrays - Computerphile,2017-08-11,125816,4218,332,Aug
393,Stop Button Solution? - Computerphile,2017-08-03,471722,12492,1132,Aug
394,GNU/Linux & Video Editing - Computerphile,2017-07-28,143972,3455,663,Jul
395,Fake News Consumers - Computerphile,2017-07-26,71693,1509,408,Jul
396,Now Hiring? (What Computing Companies Look For) - Computerphile,2017-07-20,133703,3421,366,Jul
397,Reason for ARM (Acorn Archimedes at 30) - Computerphile,2017-07-16,149904,3561,272,Jul
398,Arrays vs Linked Lists - Computerphile,2017-07-11,483500,10375,922,Jul
399,Optical Character Recognition (OCR) - Computerphile,2017-07-04,183222,5313,218,Jul
400,Sun Server Restoration (Update) - Computerphile,2017-07-01,68857,1915,133,Jul
401,iPhone at Ten - Computerphile,2017-06-29,92828,1608,232,Jun
402,AI? Just Sandbox it... - Computerphile,2017-06-23,261882,8092,971,Jun
403,"""Code"" Books (Prof Brian Kernighan) - Computerphile",2017-06-21,181608,4269,133,Jun
404,Sun Microsystems (Re-Encode) - Computerphile,2017-06-21,75035,1660,94,Jun
405,Concrete Problems in AI Safety (Paper) - Computerphile,2017-06-16,199651,5600,241,Jun
406,Bell Labs' Research (Prof Brian Kernighan) - Computerphile,2017-06-14,83379,2720,129,Jun
407,TOR Hidden Services - Computerphile,2017-06-09,1251690,22467,736,Jun
408,Brain Controlled Movie - Computerphile,2017-06-06,55259,1167,118,Jun
409,How TOR Works- Computerphile,2017-05-31,1688342,41147,1374,May
410,Computer Connections - Computerphile,2017-05-26,111640,2391,117,May
411,Sound Recognition - Computerphile,2017-05-24,110553,2371,155,May
412,How WanaCrypt Encrypts Your Files - Computerphile,2017-05-19,362297,9520,629,May
413,Wana Decrypt0r (Wanacry Ransomware) - Computerphile,2017-05-15,1503982,31730,2068,May
414,Internet of Things Problems - Computerphile,2017-05-12,153878,4404,265,May
415,Data Harvesting Problem - Computerphile,2017-05-09,113274,2443,182,May
416,Digital Audio Compression - Computerphile,2017-05-05,98554,2173,150,May
417,MegaProcessor - Computerphile,2017-05-02,383336,16469,942,May
418,"Magic ""Nothing Up My Sleeve"" Numbers - Computerphile",2017-04-19,170629,4613,213,Apr
419,Avoid the Middle-Man (Smart Contracts) - Computerphile,2017-04-13,81652,1443,60,Apr
420,SHA: Secure Hashing Algorithm - Computerphile,2017-04-11,1172937,21313,593,Apr
421,Reed-Muller Code (64 Shades of Grey pt2) - Computerphile,2017-04-07,61413,1534,121,Apr
422,64 Shades of Martian Grey - Computerphile,2017-04-05,78766,2506,157,Apr
423,End to End Encryption (E2EE) - Computerphile,2017-03-30,728017,15031,657,Mar
424,The Blockchain & Bitcoin - Computerphile,2017-03-24,274914,5783,484,Mar
425,Inside the CPU - Computerphile,2017-03-22,349242,8192,280,Mar
426,Microsoft Hololens - Computerphile,2017-03-16,169676,4317,365,Mar
427,Google Tango - Computerphile,2017-03-14,117371,2755,146,Mar
428,The Perfect Code - Computerphile,2017-03-08,571691,12932,449,Mar
429,"AI ""Stop Button"" Problem - Computerphile",2017-03-03,1333520,33337,5331,Mar
430,General AI Won't Want You To Fix its Code - Computerphile,2017-02-28,400138,11198,969,Feb
431,Maze Solving - Computerphile,2017-02-24,1163830,24783,1004,Feb
432,Correcting Those Errors - Computerphile,2017-02-21,65966,1595,86,Feb
433,Augmented Reality & Wargaming - Computerphile,2017-02-17,46636,1095,62,Feb
434,A* (A Star) Search Algorithm - Computerphile,2017-02-15,1084793,22509,664,Feb
435,3D Scanning - Computerphile,2017-02-10,53843,1525,106,Feb
436,Multiple Dimension Error Correction - Computerphile,2017-02-08,108550,2825,195,Feb
437,Digital Theatre Props - Computerphile,2017-02-03,43999,948,30,Feb
438,Implementation - Computerphile,2017-02-01,64413,1885,76,Feb
439,Lambda Calculus - Computerphile,2017-01-27,972518,24710,1196,Jan
440,The Portable 'Speccy' - Computerphile,2017-01-25,43608,954,51,Jan
441,Linked Lists - Computerphile,2017-01-20,197909,6008,406,Jan
442,Code Checking Automation - Computerphile,2017-01-18,124113,4256,272,Jan
443,"Program, Interrupted - Computerphile",2017-01-13,116504,3235,243,Jan
444,Computer Science ∩ Mathematics (Type Theory) - Computerphile,2017-01-11,254154,6078,466,Jan
445,Funky Music from Functional Programming - Computerphile,2017-01-06,69018,1427,111,Jan
446,Dijkstra's Algorithm - Computerphile,2017-01-04,1293606,29211,663,Jan
447,The Dreaded 404 - Computerphile,2016-12-28,115826,2343,198,Dec
448,Videogame Legends - Computerphile,2016-12-23,44487,1792,92,Dec
449,Computer Science's Wonder Woman: Ada Lovelace - Computerphile,2016-12-21,79268,2628,92,Dec
450,Game Physics (in Assembler) - Computerphile,2016-12-15,706608,17194,822,Dec
451,Games as Medicine - Computerphile,2016-12-09,39195,1224,90,Dec
452,Babbage's Puzzle - Computerphile,2016-12-07,71550,2251,98,Dec
453,Sega Game Coding in Assembly - Computerphile,2016-12-02,323919,10919,682,Dec
454,Functional Programming & Haskell - Computerphile,2016-11-30,637268,16597,705,Nov
455,Origins of the Web - Computerphile,2016-11-25,65854,1976,115,Nov
456,Bicubic Interpolation - Computerphile,2016-11-23,253927,6427,281,Nov
457,Sorting Secret - Computerphile,2016-11-18,229064,7257,435,Nov
458,Babbage's Analytical Engine - Computerphile,2016-11-16,208128,4900,290,Nov
459,Quantum Computing 'Magic' - Computerphile,2016-11-11,294279,7180,526,Nov
460,Slow Loris Attack - Computerphile,2016-11-09,1075072,34615,1120,Nov
461,Videogames with Simple Controls - Computerphile,2016-11-04,48994,991,91,Nov
462,Cracking Windows by Atom Bombing - Computerphile,2016-11-02,334994,7099,488,Nov
463,Explaining Dirty Cow - Computerphile,2016-10-28,199265,4063,298,Oct
464,Dirty Cow Demo - Computerphile,2016-10-26,97610,2175,218,Oct
465,Zero Size Files - Computerphile,2016-10-21,333776,7543,433,Oct
466,Sinclair & The ZX Spectrum - Computerphile,2016-10-19,59929,1381,115,Oct
467,Computing & Radar Displays - Computerphile,2016-10-12,53699,1408,74,Oct
468,Computing & Air Traffic Control - Computerphile,2016-10-07,73896,2242,108,Oct
469,BBC Domesday (1980's Google Street View) - Computerphile,2016-10-05,90259,2087,175,Oct
470,PDF Workflow - Computerphile,2016-09-30,121938,3146,175,Sep
471,IBM PC - Computerphile,2016-09-28,102008,2573,230,Sep
472,Satellite Navigation - Computerphile,2016-09-21,84920,2358,164,Sep
473,"PDF, What is it FOR? - Computerphile",2016-09-16,431203,12743,631,Sep
474,K-means & Image Segmentation - Computerphile,2016-09-14,286954,6696,243,Sep
475,Fire Pong Details - Computerphile,2016-09-09,38560,712,41,Sep
476,Fire Pong (Rule Zero) - Computerphile,2016-09-07,85987,2247,112,Sep
477,Resizing Images - Computerphile,2016-09-02,454441,10996,410,Sep
478,Unrolling the Loops - Computerphile,2016-08-31,131636,3379,170,Aug
479,Deep Dream (Google) - Computerphile,2016-08-26,656159,13824,624,Aug
480,Micropython Name Badge - Computerphile,2016-08-24,122425,3655,350,Aug
481,Physics of Computer Chips - Computerphile,2016-08-19,608534,15597,705,Aug
482,The Interlaced Video Problem - Computerphile,2016-08-17,209753,3920,478,Aug
483,FPS & Digital Video - Computerphile,2016-08-11,85211,2059,480,Aug
484,Retro Computer Kit - Computerphile,2016-08-05,81193,1747,135,Aug
485,Mobile Interface Problems - Computerphile,2016-08-02,83195,1669,360,Aug
486,Saving Bletchley Park - Computerphile,2016-07-27,43350,1172,137,Jul
487,The Game about Games - Computerphile,2016-07-22,87220,2752,133,Jul
488,How to Choose a Password - Computerphile,2016-07-20,1196070,24721,2593,Jul
489,Discussing Pokémon GO - Computerphile,2016-07-15,169539,2613,499,Jul
490,Password Cracking - Computerphile,2016-07-13,3424471,70226,4752,Jul
491,Gamer's Paradise - Computerphile,2016-07-08,96318,3018,314,Jul
492,Turing Complete - Computerphile,2016-07-05,289796,8116,376,Jul
493,Inside a Neural Network - Computerphile,2016-06-30,419276,8292,312,Jun
494,HTML IS a Programming Language (Imperative vs Declarative) - Computerphile,2016-06-28,186555,5684,904,Jun
495,The Social Media Bubble - Computerphile,2016-06-24,74011,1760,202,Jun
496,Secrets of the Deep Dark Web (Deep Dark Web Pt2) - Computerphile,2016-06-22,1600071,17926,1105,Jun
497,Web vs Internet (Deep Dark Web Pt1) - Computerphile,2016-06-17,470631,7689,285,Jun
498,Running an SQL Injection Attack - Computerphile,2016-06-15,4450809,87104,2188,Jun
499,Nascom 2 & Sharing the TV - Computerphile,2016-06-10,68253,887,53,Jun
500,Apple 2 Floppy Disk Codes - Computerphile,2016-06-07,77698,1926,169,Jun
501,Software Defined Networking - Computerphile,2016-06-03,92931,2392,163,Jun
502,Cookie Stealing - Computerphile,2016-06-01,1162178,21175,833,Jun
503,Where HTML beats C? - Computerphile,2016-05-27,609615,12864,1118,May
504,Magnetic Media (Floppies and Tapes) - Computerphile,2016-05-25,82032,2164,213,May
505,CNN: Convolutional Neural Networks Explained - Computerphile,2016-05-20,828486,13844,500,May
506,Anti-Counterfeiting & Conductive Inks - Computerphile,2016-05-17,79719,1980,149,May
507,Space Carving - Computerphile,2016-05-12,254165,4491,321,May
508,Crazy Text & Security Printing - Computerphile,2016-05-06,63812,1516,219,May
509,BGP: Border Gateway Protocol - Computerphile,2016-05-04,120522,2909,189,May
510,EXTRA BITS: SGML HTML XML - Computerphile,2016-04-29,58620,1725,96,Apr
511,Paxos Agreement - Computerphile,2016-04-27,125267,2644,45,Apr
512,HTML: Poison or Panacea? (HTML Part2) - Computerphile,2016-04-22,180433,5599,367,Apr
513,Deep Learning - Computerphile,2016-04-19,427816,7056,371,Apr
514,Internet Censorship Explained - Computerphile,2016-04-15,247103,3445,60,Apr
515,SGML HTML XML What's the Difference? (Part 1) - Computerphile,2016-04-13,231724,5910,233,Apr
516,DJ Marco and Working for Apple - Computerphile,2016-04-09,60356,1298,82,Apr
517,The Indie Advantage (and criticism) - Computerphile,2016-04-08,61513,1775,101,Apr
518,Marco's Set-Up - Computerphile,2016-04-05,116197,2816,255,Apr
519,Life of an Indie App Developer  - Computerphile,2016-04-05,236205,5132,196,Apr
520,Botnets - Computerphile,2016-03-30,215320,5047,77,Mar
521,AI's Game Playing Challenge - Computerphile,2016-03-24,737902,14014,792,Mar
522,Secure Web Browsing - Computerphile,2016-03-22,195819,4241,160,Mar
523,AlphaGo & Deep Learning - Computerphile,2016-03-18,315980,4590,426,Mar
524,Pong & Object Oriented Programming - Computerphile,2016-03-16,260880,5733,533,Mar
525,Mixed Reality Continuum - Computerphile,2016-03-10,63773,1866,133,Mar
526,The Golden Key: FBI vs Apple iPhone - Computerphile,2016-03-04,365023,10622,547,Mar
527,Running a Buffer Overflow Attack - Computerphile,2016-03-02,1986419,43322,1253,Mar
528,Stereo 3D Vision (How to avoid being dinner for Wolves) - Computerphile,2016-02-24,137799,3366,128,Feb
529,Mobile Chip Design - Computerphile,2016-02-19,89651,2388,130,Feb
530,Raspberry Pi Lego Robot - Computerphile,2016-02-17,86548,1600,169,Feb
531,Bitcoin Problems - Computerphile,2016-02-12,321983,5647,819,Feb
532,"Same Story, Different Notation - Computerphile",2016-02-10,77068,2255,122,Feb
533,Structure from Motion Octocopter - Computerphile,2016-02-05,55675,1536,138,Feb
534,AI Safety - Computerphile,2016-02-03,192501,5745,572,Feb
535,Angle Brackets - Computerphile,2016-01-29,168528,3565,153,Jan
536,Hardware vs Software & Digital Video - Computerphile,2016-01-27,54970,1843,122,Jan
537,3D Rock Art Scanner - Computerphile,2016-01-22,42142,1278,116,Jan
538,Computers Without Memory - Computerphile,2016-01-20,328750,7747,459,Jan
539,ARM Don't Make Computer Chips - Computerphile,2016-01-15,260326,5969,380,Jan
540,Chomsky Hierarchy - Computerphile,2016-01-13,226948,5441,251,Jan
541,Code Golf & the Bitshift Variations - Computerphile,2016-01-08,139579,4668,365,Jan
542,Brain Scanner - Computerphile,2016-01-05,56868,1424,75,Jan
543,Search Engine Relevance - Computerphile,2015-12-29,72426,1691,114,Dec
544,CPU vs GPU (What's the Difference?) - Computerphile,2015-12-22,862364,18284,531,Dec
545,Industrial Light-field Magic - Computerphile,2015-12-17,97320,2062,56,Dec
546,What Was Your 1st Computer? - Computerphile,2015-12-14,111319,2349,761,Dec
547,How Bitcoin Works - Computerphile,2015-12-09,408693,7675,743,Dec
548,Why Use Binary? - Computerphile,2015-12-04,658179,13096,522,Dec
549,Raspberry Pi Zero - the $5 Computer - Computerphile,2015-12-01,316599,6935,549,Dec
550,Light-field Camera - Computerphile,2015-11-27,199152,4969,282,Nov
551,Pixel Noise (Music from Images) - Computerphile,2015-11-25,100189,2847,373,Nov
552,Why do CPUs Need Caches? - Computerphile,2015-11-20,305815,7555,329,Nov
553,TLU Three Letter Username Obsession - Computerphile,2015-11-18,172960,3372,398,Nov
554,Unix Pipeline (Brian Kernighan) - Computerphile,2015-11-13,207097,5303,260,Nov
555,Canny Edge Detector - Computerphile,2015-11-11,340003,6114,127,Nov
556,Why Asimov's Laws of Robotics Don't Work - Computerphile,2015-11-06,850199,25250,2784,Nov
557,Finding the Edges (Sobel Operator) - Computerphile,2015-11-04,466857,9736,391,Nov
558,Consensus & Organising Coffee - Computerphile,2015-10-28,70367,1238,104,Oct
559,How Digital Audio Works - Computerphile,2015-10-26,254601,6258,487,Oct
560,Man in the Middle Attacks & Superfish - Computerphile,2015-10-23,1019448,23593,797,Oct
561,Faces & the Local Binary Pattern - Computerphile,2015-10-21,109675,1998,72,Oct
562,Connecting Universities - Computerphile,2015-10-16,48644,718,78,Oct
563,Chip & PIN Fraud Explained - Computerphile,2015-10-14,836472,12075,744,Oct
564,The Trouble with Missing Data - Computerphile,2015-10-09,67819,1162,91,Oct
565,Why Do We Need IP Addresses? - Computerphile,2015-10-07,123611,2215,154,Oct
566,How Blurs & Filters Work - Computerphile,2015-10-02,530353,12095,260,Oct
567,UNIX Special: Profs Kernighan & Brailsford - Computerphile,2015-09-30,323149,6504,286,Sep
568,Page Ranking and Search Engines - Computerphile,2015-09-25,128953,2116,178,Sep
569,"Anti-Learning (So Bad, it's Good) - Computerphile",2015-09-23,203722,3905,301,Sep
570,Zig Zag Decryption - Computerphile,2015-09-16,212630,3551,130,Sep
571,Empty Data Centre - Computerphile,2015-09-14,76690,1008,87,Sep
572,Inside a Data Centre - Computerphile,2015-09-09,190459,3390,284,Sep
573,The Singularity & Friendly AI? - Computerphile,2015-09-04,218193,4906,697,Sep
574,Machine Learning Methods - Computerphile,2015-09-02,205342,4211,109,Sep
575,Geometric Face Recognition - Computerphile,2015-08-28,87897,1662,125,Aug
576,"Silicon Brain: 1,000,000 ARM cores - Computerphile",2015-08-25,273565,5675,710,Aug
577,Why Don Knuth Doesn't Use Email - Computerphile,2015-08-21,205514,3634,213,Aug
578,"""C"" Programming Language: Brian Kernighan - Computerphile",2015-08-18,1826448,29968,1079,Aug
579,How Search Engines Treat Data - Computerphile,2015-08-12,129822,3265,129,Aug
580,Wobbly RAM & ZX81 Drawbacks - Computerphile,2015-08-07,57489,1197,86,Aug
581,Secrets Hidden in Images (Steganography) - Computerphile,2015-08-04,1239265,25006,646,Aug
582,Could We Ban Encryption? - Computerphile,2015-07-31,176391,5264,414,Jul
583,The Factory of Ideas: Working at Bell Labs - Computerphile,2015-07-28,184094,5374,182,Jul
584,AI Self Improvement - Computerphile,2015-07-24,419406,11063,1038,Jul
585,Captain Buzz pt2: Smart Watches and Latency - Computerphile,2015-07-22,42151,1121,83,Jul
586,Captain Buzz: Smartphone Pilot - Computerphile,2015-07-17,51562,1497,137,Jul
587,1966 Computing Power (Elliott 903) - Computerphile,2015-07-15,121990,2923,270,Jul
588,Mouse Pointers & Fitts's Law - Computerphile,2015-07-10,474446,11588,807,Jul
589,Smile Detection - Computerphile,2015-07-08,67397,1393,81,Jul
590,How GCHQ Classifies Computer Security - Computerphile,2015-07-03,72482,1378,136,Jul
591,Fishy Codes: Bletchley's Other Secret - Computerphile,2015-07-01,216689,3745,137,Jul
592,Arduino Programs & Sketches- Computerphile,2015-06-26,67174,1238,71,Jun
593,Why ARM Owes Apple - Computerphile,2015-06-24,111018,2070,93,Jun
594,Inside the Computer (EDSAC) - Computerphile,2015-06-19,134730,2937,177,Jun
595,Deadly Truth of General AI? - Computerphile,2015-06-17,902211,21386,1977,Jun
596,People's Computer: Sinclair ZX81 - Computerphile,2015-06-12,78134,2128,200,Jun
597,The Problem with JPEG - Computerphile,2015-06-09,588723,11112,427,Jun
598,Illegal Immigration & the Known Unknowns - Computerphile,2015-06-05,66327,1297,174,Jun
599,"Apple's $200,000 Computer - Computerphile",2015-06-02,182135,2949,216,Jun
600,Colossus & Bletchley Park - Computerphile,2015-05-28,240660,5375,210,May
601,"JPEG DCT, Discrete Cosine Transform (JPEG Pt2)- Computerphile",2015-05-22,608755,14123,647,May
602,IT Crowd Altair - Lifting the Lid - Computerphile,2015-05-19,69457,1626,100,May
603,Computer That Changed Everything (Altair 8800) - AUDIO FIX - Computerphile,2015-05-19,65206,1214,60,May
604,The Computer That Changed Everything (Altair 8800) - Computerphile,2015-05-15,130622,1789,104,May
605,Nuggets of Data Gold - Computerphile,2015-05-13,93218,2132,93,May
606,Computing Aladdin's Cave - Computerphile,2015-05-06,96907,2141,193,May
607,Holy Grail of AI (Artificial Intelligence) - Computerphile,2015-05-01,519110,9204,492,May
608,EDSAC Rebuild (Cambridge University's 1st Computer) - Computerphile,2015-04-29,48680,1301,55,Apr
609,ARM Processor - Sowing the Seeds of Success - Computerphile,2015-04-24,269943,6375,302,Apr
610,JPEG 'files' & Colour (JPEG Pt1)- Computerphile,2015-04-21,364823,6385,188,Apr
611,Arduino Hardware - Computerphile,2015-04-17,164002,2949,158,Apr
612,Total Recall (Memory Addressing Pt2) - Computerphile,2015-04-15,49037,944,58,Apr
613,Colourspaces (JPEG Pt0)- Computerphile,2015-04-10,238177,5649,202,Apr
614,Wearables and Augmented Reality - Computerphile,2015-04-03,38214,747,56,Apr
615,5 Hole Paper Tape - Computerphile,2015-03-31,129078,2924,205,Mar
616,EXTRA BITS - BBC Micro and Teletext - Computerphile,2015-03-30,32165,657,46,Mar
617,Building the BBC Micro (The Beeb) - Computerphile,2015-03-25,153903,2667,169,Mar
618,Augmented Reality (AR) - Computerphile,2015-03-20,43163,857,90,Mar
619,XOR & the Half Adder - Computerphile,2015-03-18,244842,6162,321,Mar
620,3D & Multiple Dimensions in Digital Images - Computerphile,2015-03-13,74013,1575,114,Mar
621,The Path Towards ARM & BBC B - Computerphile,2015-03-10,130866,2241,81,Mar
622,AND OR NOT - Logic Gates Explained - Computerphile,2015-03-06,409444,8815,422,Mar
623,True Colour of 'The Dress' #thedress (colours in digital images) - Computerphile,2015-02-27,209034,4488,586,Feb
624,Addressing Memory (Pt1) - Computerphile,2015-02-26,108460,1845,80,Feb
625,Capturing Digital Images (The Bayer Filter) - Computerphile,2015-02-22,194689,5254,175,Feb
626,Pushing the Atari Limits - Computerphile,2015-02-18,217773,3575,280,Feb
627,Digital Images - Computerphile,2015-02-15,154568,3164,192,Feb
628,Atari ST: Accidental Musical Workhorse - Computerphile,2015-02-10,107890,2117,203,Feb
629,The Turing Test - Computerphile,2015-02-05,217623,4882,336,Feb
630,Indie Games & the Fourth Dimension - Computerphile,2015-02-02,106831,4217,525,Feb
631,Binary: Plusses & Minuses (Why We Use Two's Complement) - Computerphile,2015-01-28,382623,10255,533,Jan
632,EXTRA BITS: Building a Supercomputer and Astrophysics - Computerphile,2015-01-23,43362,859,59,Jan
633,Supercomputer and the Milky Way - Computerphile,2015-01-21,69456,2078,271,Jan
634,Binary Addition & Overflow - Computerphile,2015-01-16,120324,2895,151,Jan
635,More from Numberphile's Pixar Video - Computerphile,2015-01-14,77973,2216,89,Jan
636,"Flip Flops, Latches & Memory Details - Computerphile",2015-01-09,143483,2527,118,Jan
637,"Enigma, TypeX and Dad - Computerphile",2015-01-07,172871,3456,118,Jan
638,EXTRA BITS: More on 3D X-Ray Imaging - Computerphile,2015-01-02,19274,401,28,Jan
639,3d X-Ray Images - Computerphile,2014-12-31,48433,992,92,Dec
640,Festive Flashing Lights - Computerphile,2014-12-22,126014,1239,106,Dec
641,Why Electronic Voting is a BAD Idea - Computerphile,2014-12-18,2210905,65441,6056,Dec
642,How Gangnam Style Broke YouTube - Computerphile,2014-12-12,377299,5072,616,Dec
643,Tackling Enigma (Turing's Enigma Problem Part 2) - Computerphile,2014-12-09,624640,9635,365,Dec
644,What Happens When You Click a Link? - Computerphile,2014-12-01,194858,3608,122,Dec
645,Turing's Enigma Problem (Part 1) - Computerphile,2014-11-28,1331129,16220,586,Nov
646,Where's the Money in Free Software? - Computerphile,2014-11-25,178166,2996,206,Nov
647,Why Internet Slows Down When it's Busy - Computerphile,2014-11-19,177745,2557,211,Nov
648,EXTRA BITS - Swim Tracking App - Computerphile,2014-11-17,13001,190,10,Nov
649,"Video Editing with Free Software (Accompanies ""Free Software"" video) - Computerphile",2014-11-14,65704,1656,325,Nov
650,Free Software (made with free software) - Computerphile,2014-11-12,85839,1916,418,Nov
651,Swim Tracking App - Computerphile,2014-11-06,29760,558,75,Nov
652,Technicalities of Net Neutrality - Computerphile,2014-11-03,62466,1474,136,Nov
653,EXTRA BITS - More on Crowd-Sourced Sports Coverage - Computerphile,2014-10-31,13541,231,22,Oct
654,Crowd-Sourced Sports Coverage - Computerphile,2014-10-29,27782,681,59,Oct
655,"Routers, The Internet & YouTube Offline - Computerphile",2014-10-23,190772,3658,192,Oct
656,EXTRA BITS - More on E-Reader Text Layouts - Computerphile,2014-10-17,45786,1256,110,Oct
657,The Kindle Text Problem - Computerphile,2014-10-15,328200,5515,367,Oct
658,Turing Meets Paradoxes (History of Undecidability Part 3) - Computerphile,2014-10-09,111658,2324,169,Oct
659,Shellshock Code & the Bash Bug - Computerphile,2014-10-06,122473,2574,156,Oct
660,Blogging Guitar - Computerphile,2014-10-03,74571,787,61,Oct
661,Barber & Russell Paradoxes (History of Undecidability Part 2) - Computerphile,2014-09-29,141354,3330,305,Sep
662,A New Perspective (Multi-Person 3D system) - Computerphile,2014-09-26,54159,1622,84,Sep
663,"Piracy, Pictures and Metadata - Computerphile",2014-09-23,73404,1303,121,Sep
664,Undecidability Tangent (History of Undecidability Part 1) - Computerphile,2014-09-19,160776,3715,223,Sep
665,"Rabbits, Faces & Hyperspaces - Computerphile",2014-09-17,193907,4788,197,Sep
666,How Broadband ADSL Works - Computerphile,2014-09-13,169616,2978,177,Sep
667,Hill Climbing Algorithm & Artificial Intelligence - Computerphile,2014-09-09,391503,8784,382,Sep
668,Turing Machine Primer - Computerphile,2014-09-04,150950,2706,32,Sep
669,Busy Beaver Turing Machines - Computerphile,2014-09-02,380269,7185,456,Sep
670,Turing Machines Explained - Computerphile,2014-08-29,1015663,17044,789,Aug
671,Avatars & In-Flight VR - Computerphile,2014-08-27,36109,820,72,Aug
672,Turing & The Halting Problem - Computerphile,2014-08-21,819822,15512,1623,Aug
673,The (pink) VR Simulator - Computerphile,2014-08-14,63893,1482,112,Aug
674,EXTRA BITS: The Danger Theory Explained - Computerphile,2014-08-12,28899,704,30,Aug
675,The Danger Theory - Computerphile,2014-08-10,73064,1438,85,Aug
676,Internationalis(z)ing Code - Computerphile,2014-08-04,1041215,38209,2682,Aug
677,The Future of Desktop Computing? - Computerphile,2014-07-28,91953,1848,663,Jul
678,Public Key Cryptography - Computerphile,2014-07-22,833133,23909,1259,Jul
679,Real Life Holodeck with an Oculus Rift - Computerphile,2014-07-17,313422,4169,302,Jul
680,Artificial Immune Systems - Computerphile,2014-07-15,74869,1776,79,Jul
681,Emoji and the Levitating Businessman - Computerphile,2014-07-09,494814,11844,1007,Jul
682,The Virtual Reality Cave - Computerphile,2014-07-04,94664,2428,233,Jul
